"Date","Local.Site.Name","County","meanlatitude","meanlongitude","Month","Year","PM2.5","Ozone"
2024-01-13,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,23,NA
2024-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,44,NA
2024-01-13,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,6,NA
2024-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,28,31
2024-01-13,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,24,NA
2024-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,0,NA
2024-01-13,"Linville Falls","Avery",35.972347,-81.933072,1,2024,11,NA
2024-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,22,NA
2024-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,2024,21,32
2024-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,11,NA
2024-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,19,NA
2024-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2024,36,NA
2024-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,25,NA
2024-01-14,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,26,NA
2024-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,53,NA
2024-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,23,38
2024-01-14,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,25,NA
2024-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,27,NA
2024-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,32,NA
2024-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,2024,28,33
2024-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,18,NA
2024-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,27,NA
2024-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2024,43,NA
2024-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,22,NA
2024-01-15,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,34,NA
2024-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,52,NA
2024-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,44,25
2024-01-15,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,33,NA
2024-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,22,NA
2024-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,39,NA
2024-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,2024,28,23
2024-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,24,NA
2024-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,30,NA
2024-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2024,14,NA
2024-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,34.5,NA
2024-01-16,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,33,NA
2024-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,54,NA
2024-01-16,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,10,NA
2024-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,47,31
2024-01-16,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,29.5,NA
2024-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,31,NA
2024-01-16,"Linville Falls","Avery",35.972347,-81.933072,1,2024,17,NA
2024-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,39,NA
2024-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,2024,38,29
2024-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,29,NA
2024-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,32,NA
2024-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2024,12,NA
2024-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,36,NA
2024-01-17,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,40,NA
2024-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,55,NA
2024-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,31,30
2024-01-17,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,26,NA
2024-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,19,NA
2024-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,2024,29,31
2024-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,20,NA
2024-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,22,NA
2024-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2024,32,NA
2024-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,40.5,NA
2024-01-18,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,54,NA
2024-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,56,NA
2024-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,39,33
2024-01-18,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,41,NA
2024-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,39,NA
2024-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,2024,47,32
2024-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,38,NA
2024-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,44,NA
2024-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2024,22,NA
2024-01-19,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,37,NA
2024-01-19,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,31.5,NA
2024-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,60,NA
2024-01-19,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,15,NA
2024-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,34.5,33
2024-01-19,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,33.5,NA
2024-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,27,NA
2024-01-19,"Linville Falls","Avery",35.972347,-81.933072,1,2024,23,NA
2024-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,2024,41.5,33
2024-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,34,NA
2024-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,43,NA
2024-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2024,12,NA
2024-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,43.5,NA
2024-01-20,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,31,NA
2024-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,55,NA
2024-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,27,32
2024-01-20,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,29,NA
2024-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,19,NA
2024-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2024,26.5,31
2024-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,25,NA
2024-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,23,NA
2024-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2024,30,NA
2024-01-21,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,27.5,NA
2024-01-21,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,34,NA
2024-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,55,NA
2024-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,35,31
2024-01-21,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,28,NA
2024-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,2024,33,33
2024-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,18,NA
2024-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,29,NA
2024-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2024,34,NA
2024-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,33.5,NA
2024-01-22,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,59,NA
