"Date","Daily.AQI.Value","Local.Site.Name","AQS.Parameter.Description","County","Site.Latitude","Site.Longitude"
2024-12-14,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-17,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-20,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-23,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-26,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-12-29,4,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2024-01-01,52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-07,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-13,22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-19,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-01-25,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-06,45,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-12,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-18,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-02-24,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-01,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-07,10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-19,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-03-25,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-04-12,16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-04-24,38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-04-30,41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-06,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-12,33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-18,33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-24,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-30,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-06-14,55,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-06-17,58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-06-23,53,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-07-05,64,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-07-11,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-07-17,34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-07-23,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-07-29,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-08-04,41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-08-10,48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-08-16,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-08-22,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-09-03,27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-09-09,36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-09-15,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-09-21,46,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-10-06,58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
